Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_55e82ef6	a	拉姆，小黄还不愿意继承他的衣钵吗？	game/script.rpy	245	a "[what]"
start_497f8fe8	x	...我不知道我这样做到底对不对。	game/script.rpy	247	x "[what]"
start_908efe3a	x	我总是把他们认错，每次看向它都好像他还活着一样。	game/script.rpy	248	x "[what]"
start_30849227	x	可是XX比他强太多了，我总在想，要是XX早出生些，要是他有XX的天赋......	game/script.rpy	249	x "[what]"
start_acf16e08		拉姆神情恍惚，说话的时候头发被风吹起。	game/script.rpy	251	"[what]"
start_b714a92b		她从头一直蔓延到胸口的撕裂伤刚掉了疤，露出下方粉红的新皮。	game/script.rpy	252	"[what]"
start_0fd4d656_1		......	game/script.rpy	254	"[what]"
start_1d40e105	a	拉姆，休息一下吧。	game/script.rpy	256	a "[what]"
start_b5bd1256	a	你不适合继续教导她了，XX和他本就不可能同时存在，他们...就是同一个人。	game/script.rpy	257	a "[what]"
start_8e3c72e2	a	但你不能把XX当成他。	game/script.rpy	258	a "[what]"
start_810e073a		族人们开导着曾经坚强、一往无前的守护者。	game/script.rpy	260	"[what]"
start_16dbdf83	b	拉姆，如果XX实在不愿意承担这份责任，就别逼它了。	game/script.rpy	265	b "[what]"
start_4a912915	b	暂时我们没那么危险了，而且族里还有我们呢。	game/script.rpy	266	b "[what]"
start_c399c737	b	再怎么说XX都没成年，小孩还是去做小孩该做的事情吧。	game/script.rpy	267	b "[what]"
start_c0428bf0	x	可是她有比我们所有人都强的力量。	game/script.rpy	269	x "[what]"
start_014b2223	x	要是女巫们发现了她怎么办？	game/script.rpy	270	x "[what]"
start_cad2e2f4	b	拉姆......	game/script.rpy	272	b "[what]"
start_f289b6be	x	她甚至还没异化......	game/script.rpy	274	x "[what]"
start_adcd7dae	x	我保护不了你们了，我也保护不了它	game/script.rpy	275	x "[what]"
start_bca86e82	x	我没有下一对翅膀了......	game/script.rpy	276	x "[what]"
start_8b98a5c8_1	x	......	game/script.rpy	277	x "[what]"
start_4a0d9d22	x	...要是他还在就好了	game/script.rpy	278	x "[what]"
start_c6e51815		族人们沉默的看着拉姆细如蚊喃的崩溃。	game/script.rpy	280	"[what]"
start_e36ca33b		他们说不出任何安慰的话，因为他们也无比思念他的逝去。	game/script.rpy	281	"[what]"
start_7722071a		他们也希望XX能像他一样站出来，作为火鸟的精神扛起图腾，带他们逃离女巫的保护......	game/script.rpy	282	"[what]"
start_7e8ec8aa		...或者该叫圈养？	game/script.rpy	283	"[what]"
start_583dbb14		XX还太小了，它才刚破壳几个月，他们可以把未来寄托在它身上吗？	game/script.rpy	284	"[what]"
start_5ec10544		即使他们才是大人？	game/script.rpy	285	"[what]"
start_b9b0d65c	p	夜里，XX没见拉姆回家，便独自出门寻找。	game/script.rpy	289	p "[what]"
start_29562916	p	由于火鸟是崇拜太阳的部落，黄昏后火鸟栖息在西方山脉，她的光不再照耀大地。	game/script.rpy	290	p "[what]"
start_88e7bfc4	p	异化后的成年人们也有着相似的生活习惯，族人具有昼伏夜出的特性，通常不在夜晚出门。	game/script.rpy	291	p "[what]"
start_cdd7ccbf	p	这种情况在被黑熊袭击之后加剧，很多人看不到太阳就会恐惧，连阴天也会躲起来。	game/script.rpy	292	p "[what]"
start_3c7312be	p	据点内的夜晚其实没那么暗，光源有天上一明一暗的两个月亮和空中漂浮着一些女巫林独有的微小荧光自然种。	game/script.rpy	293	p "[what]"
start_47658b80	p	远处看起来有些像旧历时期就灭绝的荧光虫，不过它们是类似于植物概念的无意识生物。	game/script.rpy	294	p "[what]"
start_66d774cb	p	不过晚上确实有点吓人，安静的有些诡异，对比白天时族人们强颜欢笑装出来的热闹显得有些陌生。	game/script.rpy	295	p "[what]"
start_8cd6f387	topaz	晚上的空气好舒服呀，为什么大家都不在晚上出来玩?	game/script.rpy	297	topaz happy "[what]"
start_32cba4a7	topaz	妈妈不让我晚上出来呢，不过没关系吧？如果不做错事的话。	game/script.rpy	298	topaz avoid "[what]"
start_4331c203	topaz	哦哦！有好多小光点！	game/script.rpy	299	topaz happy "[what]"
start_715b3964	p	小孩玩性大，刚找了没多久的人就分心去追发光的小花了。	game/script.rpy	301	p "[what]"
start_614cbc2f	p	发光的小花是由用来软禁它们的藤蔓围墙传播种子的，会优先扩散到没有藤曼的地方，也就是围墙的缺口。	game/script.rpy	302	p "[what]"
start_f47f8a1f	p	它跟着小花，不知不觉的出了豢养火鸟的墙。	game/script.rpy	303	p "[what]"
start_3f84ca74	p	墙外是完全没有打理过的女巫林中心，是人类的禁地，林里不同的荧光性自然种隐隐照亮了黑暗中潜在的危险，让XX本能的害怕。	game/script.rpy	304	p "[what]"
start_09335f42	p	由自然种繁衍发出的光多是模拟月光的冷色，在这之中，唯一的暖色光源显得格外显眼。	game/script.rpy	305	p "[what]"
start_8092662f	topaz	哦哦哦！好害怕！	game/script.rpy	307	topaz happy "[what]"
start_99fbc4de	topaz	回去吗？还是看看那里有什么呢......	game/script.rpy	308	topaz avoid "[what]"
start_2009690e	topaz	妈妈回来了肯定不许我半夜出门，果然还是去吧？	game/script.rpy	309	topaz happy "[what]"
start_d08c5c1d	p	完全忘记自己出门是为了找妈妈呢。	game/script.rpy	311	p "[what]"
start_55e0f776	topaz	哇哇，这是什么？是族里的图腾呢...这里也是村子的一部分吗？	game/script.rpy	313	topaz avoid "[what]"
start_86048993	topaz	为什么大家从来没告诉过我呢？难道是秘密吗...?	game/script.rpy	314	topaz avoid "[what]"
start_c160f662	p	“…百年...”	game/script.rpy	316	p "[what]"
start_05f96c79	p	影影约约的，在那发出暖光的山洞中传来了人声。	game/script.rpy	317	p "[what]"
start_58f5e720	p	XX的听力一向要比他人出色些。	game/script.rpy	318	p "[what]"
start_7452a9b7	p	出于好奇，XX摸了进去，悄悄的听着。	game/script.rpy	319	p "[what]"
start_f0c75b24	x	…我们的头鸟...我的爱人...我们的未来会是光辉的。	game/script.rpy	323	x "[what]"
start_461e8e5c	x	会是在太阳下的，会是高举图腾的，你的转世前所未有的强大，我们的未来也会是如它般强大的。	game/script.rpy	324	x "[what]"
start_a5560cd4	x	我以己身的图腾象征起誓...103年的成年仪式时火鸟必将于死焰中重回失地...	game/script.rpy	325	x "[what]"
start_82a6bf46	p	XX不太听得懂复杂的悼词和其中蕴含的复杂情绪。它只是看着洞中被烛火照亮的墙。	game/script.rpy	327	p "[what]"
start_3b566d37	p	太震撼了，需要几人张开双臂才能量出的巨大图腾壁绘，其上挂着数不清的骨骼和羽毛。	game/script.rpy	328	p "[what]"
start_7febaa41	p	每一片羽毛和骨骼都做了记号，似乎是用来辨别其主人的。	game/script.rpy	329	p "[what]"
start_bd1f605a	p	洞内悬挂着数不清的手摇铃，大多是破损的，染着深色污渍。	game/script.rpy	330	p "[what]"
start_2cd8d3a5	p	拉姆坐在洞内，祈祷着。	game/script.rpy	331	p "[what]"
start_96dbf6e9	x	我会永恒的履行守护者的职责，即使我的象征残破；	game/script.rpy	333	x "[what]"
start_67300a21	x	神圣的火鸟啊，我们失去了西方的真木，请怜惜您最忠诚的信徒......	game/script.rpy	334	x "[what]"
start_58881c87	x	...再次降临...	game/script.rpy	335	x "[what]"
start_239cae56_1	p	……	game/script.rpy	337	p "[what]"
start_9f547835	p	什么也没发生，连烛火都没晃动一丝。	game/script.rpy	338	p "[what]"
start_9e38453a	p	拉姆失望的停下祷告，或许庇佑它们的幻想种真的放弃它们了，因为它们被赶出了自己的家园。	game/script.rpy	339	p "[what]"
start_88ec4cab	p	没有供火鸟栖息的真木，TA也就离开了。	game/script.rpy	340	p "[what]"
start_65ef2876	x	没事....没有回应也没关系的，火鸟还有我，还有XX...	game/script.rpy	342	x "[what]"
start_c2f7afa0	p	拉姆喃喃自语道，出于某种原因，她看上去格外脆弱。XX不知道为什么自己会被提及，但它或许能安慰妈妈吗？	game/script.rpy	344	p "[what]"
start_2dd17de3	p	明知道自己不应该出现在这里，XX还是选择安慰拉姆，因为那是它的‘母亲’	game/script.rpy	345	p "[what]"
start_0773dd8c	p	它会永远爱她、保护她。	game/script.rpy	346	p "[what]"
start_85b9e0cb	topaz	对呀，族里有我呀。	game/script.rpy	348	topaz smile "[what]"
start_2fdd0f15	p	！！	game/script.rpy	350	p "[what]"
start_1cc7eee7	p	听到意料之外的声音，拉姆惊恐的转身看到XX无知无觉的在洞口傻笑。	game/script.rpy	351	p "[what]"
start_8a513cdd	x	你为什么会在夜晚出门？	game/script.rpy	356	x "[what]"
start_cbf1f2dc	x	为什么要出据点？？	game/script.rpy	357	x "[what]"
start_9945f3d2	x	万一被女巫看到了怎么办？	game/script.rpy	358	x "[what]"
start_0e1f7411	x	你知道你闯了多大的祸吗？啊啊啊!!	game/script.rpy	363	x "[what]"
start_978edb77	x	啊啊啊啊！啊啊啊！！！啊啊...!	game/script.rpy	364	x "[what]"
start_9302b75a	topaz	...*为什么妈妈总是一惊一乍的？*	game/script.rpy	366	topaz avoid "[what]"
start_937f27f4	p	面对拉姆的崩溃，XX只是平静的听着，手里捏着妈妈做的小弓的碎片，它还是坏了，因为XX玩的时候不小心没收住力。	game/script.rpy	368	p "[what]"
start_0255487e	p	它已经习惯了拉姆的崩溃，尖叫，怒火。它的每一天都经历这样癫狂的母亲，但它依然爱着拉姆，这就是它的爱呀。	game/script.rpy	369	p "[what]"
start_882e3207	p	过了一会儿，拉姆状若癫狂的发泄戛然而止，她意识到了一个更严重的问题。	game/script.rpy	373	p "[what]"
start_9f944869	x	你看到了多少？	game/script.rpy	375	x "[what]"
start_efd30dee	topaz	不知道呀？从头鸟的部分开始？	game/script.rpy	377	topaz avoid "[what]"
start_3795342d	p	XX还在微笑，微笑能让别人开心，这是它学到的，所以它每天都在笑。	game/script.rpy	381	p "[what]"
start_1a0d00b3	p	拉姆的手无力的垂下，她失魂落魄的看着XX，眼神里是恐惧和绝望，但XX看不懂这一切。	game/script.rpy	382	p "[what]"
start_33aca02b	p	它感受不到。	game/script.rpy	383	p "[what]"
start_4bdaaafa	p	它只是继续笑着，希望这个微笑能让拉姆开心起来。	game/script.rpy	384	p "[what]"
start_e7a53e59	p	拉姆的情绪彻底失控，好像失去了最后一丝希望一样。	game/script.rpy	385	p "[what]"
start_13a56831	x	这样啊，你都知道了...你都知道了...全都白费了。	game/script.rpy	390	x "[what]"
start_4d805e1c	x	你不是他...你没法成为他了......	game/script.rpy	391	x "[what]"
start_cfe79c38	x	呃呃呃呃啊啊啊啊啊啊！！！为什么不听话！为什么要出来啊啊啊啊！	game/script.rpy	392	x "[what]"
start_ee487bed	x	我付出了那么多都是为了你能成为头鸟啊...！XX你为什么不愿意成为他？为什么你不是他？	game/script.rpy	393	x "[what]"
start_fac5d7e3	x	为什么拥有力量的是你？偏偏是你？如果是他有这样的力量大家都不会死了...！	game/script.rpy	394	x "[what]"
start_d5eaba25	x	明明你们是同一个人...为什么......	game/script.rpy	395	x "[what]"
start_d3c88e14	x	一切都错位了...命运已经抛弃了我们却还要这样捉弄我们吗......	game/script.rpy	396	x "[what]"
start_42e8a0fc	topaz	… 妈妈你在说什么呀？他是谁？我可以成为他啊，只要你想， 我会努力让你开心...	game/script.rpy	398	topaz frown "[what]"
start_a904a6b7	x	你怎么能让我开心...？你已经不可能成为头鸟了，你已经知道了...	game/script.rpy	403	x "[what]"
start_6a4c059d	x	火鸟不会选择一只在成年前就参与过祭祀而且知道自己前世的亚人。你已经没有可能了......	game/script.rpy	404	x "[what]"
start_6ceccb59	x	我们没可能了......	game/script.rpy	405	x "[what]"
start_67e135ed	x	……	game/script.rpy	406	x "[what]"
start_49065107	x	要是你不存在...	game/script.rpy	407	x "[what]"
start_bef11eaa	x	...要是你没出声就好了。	game/script.rpy	408	x "[what]"
start_5f554b93		至少我还能活在虚假的希望里。	game/script.rpy	410	"[what]"
start_f4f33737		拉姆望向XX的眼神暗淡无光，她的瞳孔里映着XX的脸。	game/script.rpy	411	"[what]"
start_e052c315	p	XX看着那双眼睛、看着其中的自己。	game/script.rpy	412	p "[what]"
start_f45243d4	p	要是我没出生就好了吗...？	game/script.rpy	414	p "[what]"
start_8c57a1b9	p	是我的错吗。	game/script.rpy	415	p "[what]"
start_39608e1c	p	有好多事情XX都不懂，它不理解拉姆的付出，泪水和奉献。	game/script.rpy	419	p "[what]"
start_d1787d5d	p	那晚她只是站在洞口看着拉姆，看着她从一开始的流泪到拉扯自己的头发，到摔下轮椅匍匐在地上哭。	game/script.rpy	420	p "[what]"
start_35061c58	topaz	为什么她会这么痛苦呢？	game/script.rpy	422	topaz sad "[what]"
start_af5e42bd	topaz	因为我吗？可我什么都没做。	game/script.rpy	423	topaz sad "[what]"
start_0c061627	topaz	为什么要为未来才会发生的事情痛苦？	game/script.rpy	424	topaz sad "[what]"
start_2fa3eed9	topaz	为什么她如此悲观？	game/script.rpy	425	topaz sad "[what]"
start_4ad673db	topaz	为什么我此时好像也有些难过？	game/script.rpy	426	topaz sad "[what]"
start_724842e3	topaz	明明什么坏事都没有发生在我身上，可我也有些想哭。	game/script.rpy	427	topaz sad "[what]"
start_f9597bf1	p	拉姆的哭声渐渐小些了，可她看上去仍然在痛苦。	game/script.rpy	429	p "[what]"
start_e28fde2e	p	她的呼吸急促且深大，她防御性的抱着自己的双臂，手腕内弯着，指甲抠进胳膊，丝丝血迹渗出染红了布料。	game/script.rpy	430	p "[what]"
start_af9f51ae	p	XX想不明白啊，有什么在阻止它理解这一切。	game/script.rpy	431	p "[what]"
start_956aab48	p	人们说难得糊涂，说小心眼会无法得到幸福。	game/script.rpy	432	p "[what]"
start_7fd8e75d	p	可是现在XX的痛苦正是源于它的迟钝、糊涂、无知。	game/script.rpy	433	p "[what]"
start_cdb0f9ae	topaz	要是我能理解妈妈为什么痛苦就好了。	game/script.rpy	435	topaz sad "[what]"
start_93b3e4c0	topaz	为什么我总是这么迟钝呢，为什么我没办法安慰她呢？	game/script.rpy	436	topaz sad "[what]"
start_ea5788f2	topaz	我明明是想找妈妈回家...我明明是想让妈妈别再失落啊。	game/script.rpy	437	topaz sad "[what]"
start_b0d3f1c6	topaz	为什么她更难过了？是我造成的吗...？	game/script.rpy	438	topaz sad "[what]"
start_6dff85fb	topaz	或许...我没出生一切就真的都好了吧。	game/script.rpy	439	topaz frown "[what]"
start_8e02858e	p	次日，XX主动找上其他族人，它决心要知道什么导致了拉姆的痛苦。	game/script.rpy	443	p "[what]"
start_e876e0eb	p	它比任何人都要爱她，作为她的孩子。	game/script.rpy	444	p "[what]"
start_0d5976bb	topaz	你们好！我有问题想不通	game/script.rpy	449	topaz smile "[what]"
start_2ace4fcb	topaz	可以问问你们吗？	game/script.rpy	450	topaz smile "[what]"
start_2ee3121a	p	没有族人回应	game/script.rpy	452	p "[what]"
start_f41342bf	p	大家都停下了动作，看看它，又相互对视，才有一个族人走上前来。	game/script.rpy	453	p "[what]"
start_de6ef12d	b	是XX呀，今天怎么一个人出来？你妈妈呢？	game/script.rpy	455	b "[what]"
start_cd97dce2	p	她非常温柔的把XX扶进人群，让它融入些。	game/script.rpy	457	p "[what]"
start_0b72462b	topaz	妈妈...妈妈今天不舒服，在家休息呢。	game/script.rpy	459	topaz avoid "[what]"
start_cc3791f9	p	XX撒了谎	game/script.rpy	461	p "[what]"
start_22e9cf77	p	拉姆从昨晚开始就一直在那个神秘的山洞里没回家，无论XX怎么拉她叫她，她都不做回应	game/script.rpy	462	p "[what]"
start_89079d15	p	拉姆只是捏着一枚从墙上取下的红色羽毛，亲吻，摩挲。	game/script.rpy	464	p "[what]"
start_6eb48f99	p	她好像一直在思念一个人，上一只头鸟，不久前刚死去的那一只。	game/script.rpy	465	p "[what]"
start_c59f633d	p	具体为什么死掉一直是族里的禁忌，大人们都讳莫如深，从来不说给XX听。	game/script.rpy	466	p "[what]"
start_e7ebfb1d	p	所以XX觉得它要为妈妈守护她说漏嘴的秘密，假装自己一无所知。	game/script.rpy	467	p "[what]"
start_03f1b20b	a	拉姆会生病？	game/script.rpy	470	a "[what]"
start_18743095	p	XX自问这谎撒的天衣无缝，但所有人都露出了奇怪的表情。	game/script.rpy	474	p "[what]"
start_cab7032d	p	他们又开始莫名其妙的对视了。	game/script.rpy	475	p "[what]"
start_abf09688	p	刚刚说话的大姐姐揉了揉自己的眉头，又恢复热情的态度和XX说话。	game/script.rpy	476	p "[what]"
start_5c8423bc	b	刚刚你说有问题想问？是什么事情呢？	game/script.rpy	478	b "[what]"
start_e8387bcc	topaz	啊...是的，我想知道人为什么会因为未来的事情难过呢？	game/script.rpy	480	topaz simle "[what]"
start_acecab78	topaz	就是...还没有发生的事情！	game/script.rpy	481	topaz simle "[what]"
